id,set_id,part,rarity,effects,raw_desc
set1_head_white,set_1,head,white,"[{""trigger"": ""on_combo"", ""type"": ""buff"", ""target"": ""next_hit"", ""stat"": ""crit_rate"", ""value"": 0.1}]",触发连携技后，下次攻击暴击率+10%
set1_head_blue,set_1,head,blue,"[{""trigger"": ""on_combo"", ""type"": ""buff"", ""target"": ""next_hit"", ""stat"": ""crit_rate"", ""value"": 0.15}, {""trigger"": ""on_combo"", ""type"": ""buff"", ""target"": ""next_hit"", ""stat"": ""crit_dmg"", ""value"": 0.2}]",触发连携技后，下次攻击暴击率+15%，暴击伤害+20%
set1_head_gold,set_1,head,gold,"[{""trigger"": ""on_combo"", ""type"": ""buff"", ""target"": ""next_hit"", ""stat"": ""crit_rate"", ""value"": 1.0}, {""trigger"": ""on_combo"", ""type"": ""buff"", ""target"": ""next_hit"", ""stat"": ""crit_dmg"", ""value"": 0.3}]",触发连携技后，下次攻击必定暴击，暴击伤害+30%
set1_body_white,set_1,body,white,"[{""trigger"": ""on_take_damage"", ""type"": ""buff"", ""stat"": ""speed"", ""value"": 0.15, ""duration"": 5.0}]",受到伤害时，5秒内移速+15%
set1_body_blue,set_1,body,blue,"[{""trigger"": ""on_take_damage"", ""type"": ""buff"", ""stat"": ""speed"", ""value"": 0.2, ""duration"": 5.0}, {""trigger"": ""on_take_damage"", ""type"": ""buff"", ""stat"": ""damage_reduction"", ""value"": 0.1, ""duration"": 5.0}]",受到伤害时，5秒内移速+20%，并获得10%减伤
set1_body_gold,set_1,body,gold,"[{""trigger"": ""on_take_damage"", ""type"": ""buff"", ""stat"": ""speed"", ""value"": 0.3, ""duration"": 5.0}, {""trigger"": ""on_take_damage"", ""type"": ""buff"", ""stat"": ""damage_reduction"", ""value"": 0.15, ""duration"": 5.0}]",受到伤害时，5秒内移速+30%，获得15%减伤
set1_foot_white,set_1,foot,white,"[{""trigger"": ""passive"", ""type"": ""stat"", ""stat"": ""speed"", ""value"": 0.08}]",移速+8%
set1_foot_blue,set_1,foot,blue,"[{""trigger"": ""passive"", ""type"": ""stat"", ""stat"": ""speed"", ""value"": 0.12}, {""trigger"": ""on_dodge"", ""type"": ""buff"", ""stat"": ""speed"", ""value"": 0.1, ""duration"": 3.0}]",移速+12%，闪避后移速额外+10%持续3秒
set1_foot_gold,set_1,foot,gold,"[{""trigger"": ""passive"", ""type"": ""stat"", ""stat"": ""speed"", ""value"": 0.15}, {""trigger"": ""passive"", ""type"": ""stat"", ""stat"": ""dodge_stamina_cost"", ""value"": -0.5}, {""trigger"": ""on_dodge"", ""type"": ""buff"", ""stat"": ""speed"", ""value"": 0.2, ""duration"": 3.0}]",移速+15%，闪避后移速额外+20%持续3秒，且闪避消耗体力-50%
set2_head_white,set_2,head,white,"[{""trigger"": ""passive"", ""type"": ""stat"", ""stat"": ""charge_dmg"", ""value"": 0.15}]",蓄力攻击伤害+15%
